"","feature","anovas.Legend_ex_withdraw DenDF","anovas.Legend_ex_withdraw F value","anovas.Legend_ex_withdraw Mean Sq","anovas.Legend_ex_withdraw NumDF","anovas.Legend_ex_withdraw Pr(>F)","anovas.Legend_ex_withdraw Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.Legend_ex_withdrawDay 2 of washout (T2W) 2.5 %","coefs.Legend_ex_withdrawDay 2 of washout (T2W) 97.5 %","coefs.Legend_ex_withdrawDay 2 of washout (T2W) df","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Estimate","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Pr(>|t|)","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Std. Error","coefs.Legend_ex_withdrawDay 2 of washout (T2W) t value","coefs.Legend_ex_withdrawDay 4 of washout (T4W) 2.5 %","coefs.Legend_ex_withdrawDay 4 of washout (T4W) 97.5 %","coefs.Legend_ex_withdrawDay 4 of washout (T4W) df","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Estimate","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Pr(>|t|)","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Std. Error","coefs.Legend_ex_withdrawDay 4 of washout (T4W) t value","coefs.Legend_ex_withdrawPost-washout (T14W) 2.5 %","coefs.Legend_ex_withdrawPost-washout (T14W) 97.5 %","coefs.Legend_ex_withdrawPost-washout (T14W) df","coefs.Legend_ex_withdrawPost-washout (T14W) Estimate","coefs.Legend_ex_withdrawPost-washout (T14W) Pr(>|t|)","coefs.Legend_ex_withdrawPost-washout (T14W) Std. Error","coefs.Legend_ex_withdrawPost-washout (T14W) t value","anovas.Legend_ex_withdraw Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Pr(>|t|).BH","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Pr(>|t|).BH","coefs.Legend_ex_withdrawPost-washout (T14W) Pr(>|t|).BH"
"11","Coriobacteriaceae bacterium BV3Ac1",91.2909143333378,0.614964441194852,0.406036388450755,3,0.607037319662602,1.21810916535227,-0.717077242814912,0.15669915481401,62.3761572761344,-0.280189044000451,0.213446802383633,0.222906238206712,-1.25698161816637,-0.405692895007536,0.403346581956741,91.1047410892088,-0.00117315652539773,0.995477169523602,0.206391414165229,-0.00568413434319775,-0.652771734567957,0.173747337447848,91.4860720655056,-0.239512198560054,0.258951445685065,0.210850576473671,-1.13593333518802,-0.547232814279451,0.261806662684827,91.1047410868801,-0.142713075797312,0.491029749644916,0.206391414165229,-0.691468084438152,0.928938305717331,0.232901589059225,0.998267299713959,0.990316899229131,0.977025442307036
"12","Elizabethkingia anophelis",91.1501573894445,1.88292455952248,1.00421266972761,3,0.1380162336187,3.01263800918284,-3.57433278952673,-2.79092616287357,62.4102204047307,-3.18262947620015,1.16490833740058e-23,0.199852301581195,-15.9249077995088,-0.0440317892329984,0.683092455560982,90.9622068673849,0.319530333163992,0.0883613080398035,0.185494287275033,1.72258853821317,-0.444551973094663,0.298276483128473,91.347187211365,-0.0731377449830951,0.700431070187252,0.189500537275805,-0.385950066604023,-0.403868390796282,0.323255853997698,90.9622068699186,-0.0403062683992924,0.828468099724706,0.185494287275033,-0.217291157541311,0.747669115285701,8.48863640644946e-23,0.670786648762464,0.990316899229131,0.977025442307036
"13","Actinomyces sp. ph3",90.1462683510019,2.47085838734838,1.975365586668,3,0.0668911609982333,5.92609676000401,-1.05628033642203,-0.185850030042927,71.6775900803508,-0.621065183232479,0.00661928013440726,0.222052627814834,-2.79692786950657,-1.0622161065642,-0.171965964387542,89.8950628018555,-0.617091035475871,0.00789856848332841,0.227108801283808,-2.71716037417994,-0.792481854934707,0.116663732560322,90.4099807551977,-0.337909061187193,0.148594796370663,0.231929156521817,-1.45694946790964,-0.78011472052978,0.110135421646876,89.8950628036843,-0.334989649441452,0.143701462827122,0.227108801283808,-1.47501835044618,0.671588477445852,0.00830382747400193,0.403535162668261,0.990316899229131,0.956853540805191
"14","Alistipes obesi",90.8630446482518,0.744397442110046,0.390959542337988,3,0.528362463136398,1.17287862701396,6.43676206377893,7.52273835980148,43.553284733891,6.97975021179021,1.34064650323495e-27,0.27703986006595,25.1940287947325,-0.189413287952025,0.532152129152152,90.7799414277992,0.171369420600064,0.354338275579665,0.184076192929001,0.930970039488818,-0.460725814447967,0.276890997962703,90.949964001405,-0.0919174082426323,0.6263869963559,0.188171011872896,-0.488478046261024,-0.397642701465849,0.323922715638328,90.7799414266449,-0.0368599929137604,0.841738347924624,0.184076192929001,-0.200243129365335,0.927995739998803,1.78327265033474e-26,0.838343817915195,0.990316899229131,0.977025442307036
"15","Bacillus acidiproducens",91.0133159307334,0.141263917438762,0.0950717822029936,3,0.935005892862707,0.285215346608981,-2.90590350845749,-1.82421429639655,48.635364325858,-2.36505890242702,2.75650496144039e-11,0.275946196101858,-8.57072478561735,-0.351704890765409,0.465107716573324,90.9014180673974,0.0567014129039574,0.786152126854701,0.208374392024968,0.272113153410729,-0.425800632817413,0.409039509336389,91.1304264831081,-0.00838056174051201,0.968697193842804,0.212973337453881,-0.0393502860062323,-0.486770342473708,0.330042264865026,90.9014180656842,-0.0783640388043409,0.707738706260413,0.208374392024968,-0.376073269094175,0.99902494587212,5.44799801341285e-11,0.953158260169188,0.990316899229131,0.977025442307036
"16","Akkermansia sp. KLE1605",91.0538160415424,0.268199432867487,0.290667708397321,3,0.848165470485382,0.872003125191964,-1.25521799114258,1.01598816625632,36.3634176796563,-0.11961491244313,0.837593999786469,0.579399972477527,-0.206446182473317,-0.433204733468582,0.603324853845188,91.0176469921713,0.0850600601883027,0.748433838955133,0.264425671974022,0.321678525210137,-0.509763775015169,0.550109009125059,91.0916060052452,0.0201726170549449,0.940690045894408,0.270380678548272,0.0746082048586302,-0.663021634344826,0.373507952968944,91.0176469923255,-0.144756840687941,0.585417292283547,0.264425671974022,-0.547438679487074,0.985801198705618,0.84873491151277,0.945660641890045,0.990316899229131,0.977025442307036
"17","Alkaliphilus transvaalensis",91.2376480672966,2.40407477434404,0.963943556650364,3,0.0725709000897705,2.89183066995109,-2.50584113532024,-1.84700676470978,65.4706148127067,-2.17642395001501,1.01079126549261e-19,0.168073080884971,-12.9492714630759,0.0083467344096414,0.638816194493106,91.0338856928177,0.323581464451374,0.047190996043015,0.160837001357302,2.01185959524657,0.0946129969809747,0.738634364661005,91.4513242492916,0.41662368082099,0.0129145541357135,0.164294184168686,2.53583949382669,-0.0768210025282408,0.553648457555224,91.0338856919566,0.238413727513491,0.14170570600752,0.160837001357302,1.48233133856961,0.688004578255629,4.70485998858405e-19,0.589517426694228,0.589980800678626,0.956853540805191
"18","Prevotella sp. 10(H)",91.0749609464688,0.264582892775571,0.166741246732843,3,0.850752067940286,0.50022374019853,-1.97557056970696,-1.01804898602412,53.474938350111,-1.49680977786554,1.09939009782276e-07,0.244270198645397,-6.12768068379245,-0.381171143745229,0.409239681486832,90.9359297026068,0.0140342688708015,0.944664128770542,0.201639119766159,0.0696009231099454,-0.380865868463137,0.426858194284102,91.2205551264102,0.0229961629104823,0.911384498885133,0.206055843147747,0.111601605463784,-0.529162118826851,0.26124870640521,90.9359297034716,-0.133956706210821,0.508154521472716,0.201639119766159,-0.664338876137577,0.986248416167885,1.74486534465052e-07,0.988300299512752,0.990316899229131,0.977025442307036
"19","Kosakonia sacchari",91.6137476633105,0.437544645511818,0.468639904297023,3,0.726666964187042,1.40591971289107,-3.53027283948425,-2.61851344477733,88.4002812000759,-3.07439314213079,1.19450046416992e-22,0.232595956328476,-13.2177411450312,-0.453353518222919,0.577081676476521,91.2845020279755,0.0618640791268013,0.814471916014401,0.262870951412215,0.235340111923552,-0.363907484642881,0.68780093391963,91.959887880701,0.161946724638374,0.547590403028486,0.26829789395577,0.603607886184422,-0.652081962030321,0.37835323266912,91.2845020295139,-0.1368643646806,0.603869624610229,0.262870951412215,-0.520652297050424,0.963338672747862,7.41475102943992e-22,0.959930254609391,0.990316899229131,0.977025442307036
"20","Ruminococcus bicirculans",91.1784209449072,2.16516348178415,1.60189099432767,3,0.0975238512401445,4.80567298298302,6.30889412763693,7.44954725217131,48.5816801433402,6.87922068990412,2.66347778056069e-28,0.290988286910297,23.6408852155097,-0.538101642185143,0.31831159376143,91.0684422062731,-0.109895024211856,0.616174770713224,0.218476778834165,-0.503005512980727,-0.883363659047579,-0.00804094549185114,91.293517496744,-0.445702302269715,0.0489166440944384,0.223300713803968,-1.99597347754557,-0.339551245851186,0.516861990095387,91.068442206344,0.0886553721221006,0.685849828059123,0.218476778834165,0.405788535491886,0.692522295492883,3.98570425019617e-27,0.900334436915981,0.856673857952291,0.977025442307036
"21","Peptoniphilus rhinitidis",90.7785156983424,0.637680792294857,0.429884822315214,3,0.592669752625778,1.28965446694564,-2.51757030918351,-1.79695143963949,88.1681760042301,-2.1572608744115,1.05144299708392e-19,0.183834722277595,-11.7347846352659,-0.656149186042151,0.161348676377012,90.4392873201129,-0.247400254832569,0.238614130241855,0.208549205206698,-1.18629200522421,-0.415261814515565,0.419090539688763,91.135255067913,0.00191436258659878,0.992843583488342,0.212848899465907,0.00899399804933176,-0.530006940874356,0.287490921544806,90.4392873213651,-0.121258009664775,0.562393038234288,0.208549205206698,-0.581435971163703,0.927995739998803,4.84125951404576e-19,0.785357502582501,0.997605423217303,0.977025442307036
"22","Myroides injenensis",90.9881917896895,1.77503472801067,0.668192724452817,3,0.157503197012855,2.00457817335845,-2.18747550492166,-1.07767759449977,39.0937810086985,-1.63257654971071,1.08457371062645e-06,0.283116914182054,-5.76643947405033,-0.0603224886250773,0.550562821335914,90.9338738965725,0.245120166355419,0.119218125368882,0.155840952889843,1.57288672720503,-0.424090907189297,0.20048707580113,91.0449672075366,-0.111801915694083,0.484667003635255,0.159334045910287,-0.701682525259126,-0.267658683280248,0.343226626680744,90.9338738989325,0.0377839717002482,0.808975839417942,0.155840952889843,0.242452134689884,0.747669115285701,1.63172849103226e-06,0.713605636136596,0.990316899229131,0.977025442307036
"23","Atopobium sp. ICM42b",91.0623035593513,1.68497721979751,0.997356115546041,3,0.175765588814321,2.99206834663812,-1.3842986536055,-0.580562412796439,64.8306202189032,-0.98243053320097,1.00261098078951e-05,0.205038522939409,-4.79144367174011,-0.780877464455169,-0.01485704210142,90.8600284154219,-0.397867253278295,0.044662934947155,0.195416963881995,-2.03599137646285,-0.721688784742168,0.0608081739408203,91.2744157820739,-0.330440305400674,0.101289138810089,0.199620239161338,-1.65534470246579,-0.530168327625107,0.235852094728642,90.8600284154219,-0.147158116448233,0.453368578957612,0.195416963881995,-0.753046785319497,0.78357772906782,1.45110190311158e-05,0.575808299780245,0.990316899229131,0.977025442307036
"24","Cloacibacillus porcorum",91.1073818245349,0.766429456814899,0.299457757117385,3,0.515759846761024,0.898373271352154,0.690558380138232,1.67975942167478,42.256034077343,1.18515890090651,2.80358712919355e-05,0.252351841497916,4.69645433879782,-0.156147301205037,0.466215930609477,91.0343907891867,0.15503431470222,0.331415921136647,0.158769047983441,0.97647694353114,-0.393456564083464,0.24278723785092,91.1837069978928,-0.075334663116272,0.643653375338204,0.162310074815913,-0.464140400413924,-0.336931477852698,0.285431753961816,91.0343907857692,-0.025749861945441,0.871520092868498,0.158769047983441,-0.162184394707252,0.927995739998803,3.98880477803768e-05,0.827544492107159,0.990316899229131,0.977025442307036
"25","Prevotella sp. RM4",91.1696337930254,0.741756723221065,0.501052686248993,3,0.529878184467861,1.50315805874698,-3.26584750022693,-2.07082425954121,44.9196080226746,-2.66833587988407,2.88456178078514e-11,0.304858469367784,-8.75270378880294,-0.525385157534253,0.292934887121504,91.0811124002879,-0.116225135206374,0.579068305104566,0.208758949427276,-0.556743246338588,-0.293726637567453,0.54276789580895,91.2622305945342,0.124520629120748,0.560982165216848,0.213395383786275,0.583520725291139,-0.242896606940705,0.575423437715052,91.0811124005836,0.166263415387174,0.427848969447092,0.208758949427276,0.796437306488238,0.927995739998803,5.68767711128929e-11,0.888428241724634,0.990316899229131,0.977025442307036
"26","Ruminobacter sp. RM87",91.6311000418133,0.70245716162669,0.375136021263926,3,0.552965547396506,1.12540806379178,-3.56174729355525,-2.96979895577749,103.828381022108,-3.26577312466637,3.03169551100367e-40,0.151010003869195,-21.6262038341193,-0.390626354749365,0.336980361634938,91.1954928492804,-0.0268229965572138,0.885419060475628,0.185617369024016,-0.144506932181241,-0.305132325728066,0.43693593151125,92.0899814465782,0.065901802891592,0.728543048944131,0.189306605400062,0.348122046519832,-0.559214826051487,0.168391890332817,91.1954928527308,-0.195411467859335,0.295230180206348,0.185617369024016,-1.05276499115798,0.927995739998803,1.27028041911054e-37,0.970055588995613,0.990316899229131,0.977025442307036
"27","Lactobacillus oryzae",91.2138153393795,0.77840390316809,0.571429722301581,3,0.509009807144749,1.71428916690474,-3.3165282752504,-2.62195321678608,103.39407667464,-2.96924074601824,3.08760650853387e-31,0.177190770836361,-16.7573103949098,-0.710111792031524,0.142970934093953,90.7754754034981,-0.283570428968786,0.195866821086746,0.217627143369594,-1.30301039005599,-0.516776067376785,0.353269792148492,91.6756298009464,-0.0817531376141469,0.713474273597633,0.221954552835687,-0.368332780606077,-0.680453975571229,0.172628750554248,90.7754754057758,-0.25391261250849,0.246374446737104,0.217627143369594,-1.1667322769443,0.927995739998803,7.39261215471825e-30,0.770723320200273,0.990316899229131,0.977025442307036
"28","Lactobacillus hominis",91.2830688256877,0.825233849621248,0.700287346687326,3,0.483292826797432,2.10086204006198,-3.29168876708332,-2.41523163416611,76.1481751517064,-2.85346020062472,1.3377287866564e-20,0.223590111815981,-12.7620142834097,-0.0979841579928686,0.819211226069731,91.0208326251927,0.360613534038431,0.126738322171697,0.233982713788957,1.54119733119981,-0.222478629235398,0.71408204368195,91.5583986557588,0.245801707223276,0.306288183796424,0.23892292927442,1.02879078190505,-0.265223850820969,0.651971533241631,91.0208326228543,0.193373841210331,0.410712889730557,0.233982713788957,0.826444988516315,0.927995739998803,6.75311279047027e-20,0.718876046742579,0.990316899229131,0.977025442307036
"29","Arcanobacterium sp. S3PF19",91.3246780006755,0.252558469601949,0.129660015940143,3,0.859327451968614,0.388980047820428,-3.37459280418385,-2.62132950715104,64.5519135595494,-2.99796115566745,1.39061278143603e-23,0.192162535376786,-15.6011740258795,-0.478686509873557,0.234715460177275,91.1269587393482,-0.121985524848141,0.504378524745863,0.181993642658247,-0.670273549484412,-0.347959532879721,0.380802773879146,91.5319894095824,0.0164216204997125,0.929807371976436,0.185912167903913,0.0883299930545691,-0.435580629475355,0.277821340575478,91.1269587355801,-0.0788796444499383,0.665734090211331,0.181993642658247,-0.433419779382409,0.986248416167885,9.8757077190118e-23,0.881329019010274,0.990316899229131,0.977025442307036
"30","Bacillus thermotolerans",90.8796872158607,1.07859830435084,0.714320456587861,3,0.362254319760233,2.14296136976358,-3.4363571239175,-2.69461647897593,81.9912194245497,-3.06548680144672,2.79580790283151e-27,0.189223029298581,-16.2003896291586,-0.298257356574825,0.512011067251509,90.5788468907697,0.106876855338342,0.60638128805381,0.206704926778662,0.517050352906124,-0.444628358165333,0.382552550220817,91.195809565951,-0.0310379039722579,0.883389189084953,0.211019415384887,-0.147085536729626,-0.659553555001181,0.150714868825153,90.5788468879476,-0.254419343088014,0.22157172421225,0.206704926778662,-1.23083347384576,0.888117324831793,3.44542209201884e-26,0.89873246760182,0.990316899229131,0.977025442307036
"31","Capnocytophaga sp. oral taxon 863",90.9674223501731,0.332519360453132,0.149303160304608,3,0.801844424585347,0.447909480913825,-1.85577702634145,-0.955795643016047,47.7484910282096,-1.40578633467875,1.65702562821806e-07,0.229591306377143,-6.12299462406257,-0.382120132556224,0.285052571255657,90.8602616754299,-0.0485337806502835,0.776172905548909,0.170200245788814,-0.285156936321377,-0.468947858665858,0.212969268659967,91.0795634683955,-0.127989295002946,0.463783822785971,0.173961647434519,-0.735732828991068,-0.29704705736483,0.370125646447052,90.8602616772028,0.0365392945411111,0.8304946891769,0.170200245788814,0.214684146734132,0.96405398536947,2.60035107948826e-07,0.949537072773701,0.990316899229131,0.977025442307036
"32","Enorma timonensis",90.783344044025,1.81279509946251,0.829573607716101,3,0.150420303010233,2.4887208231483,1.14185592636519,1.95641019517633,53.2021026298917,1.54913306077076,8.18107750575876e-10,0.207798274671431,7.45498519282818,-0.480840822996421,0.192702199977787,90.6428542790338,-0.144069311509317,0.403976034243618,0.171825357069576,-0.838463623567386,-0.706334019868681,-0.0180401077442887,90.9304720481134,-0.362187063806485,0.0419927983498577,0.17558840814259,-2.06270486553055,-0.650794674373943,0.0227483486002659,90.6428542836492,-0.314023162886838,0.0709041228465203,0.171825357069576,-1.82757171725057,0.747669115285701,1.44941711412809e-09,0.862545082723336,0.83019328417331,0.952564413859888
"33","Firmicutes bacterium M10-2",90.965589515998,2.84572539499035,1.02381525262491,3,0.0419727989259807,3.07144575787474,0.0345187989999428,0.773498984388393,52.0732447987771,0.404008891694168,0.0368004113740742,0.188518817492931,2.1430693077062,-0.616343901529111,-0.0191346312610575,90.8334034002303,-0.317739266395084,0.0398233566179663,0.152352103145457,-2.0855587801878,-0.367061755621056,0.243255045667776,91.103995346143,-0.0619033549766398,0.691861472131843,0.155695922502386,-0.397591369007696,-0.187570579181773,0.40963869108628,90.8334034021397,0.111034055952254,0.467999557571579,0.152352103145457,0.728798970672855,0.622578370673663,0.0430708725299919,0.551920263590747,0.990316899229131,0.977025442307036
"34","Piscirickettsia salmonis",90.7426190138645,1.24634032645694,0.913843784961578,3,0.297661725372583,2.74153135488473,-3.27365855885499,-2.5247931600872,88.7563062210825,-2.89922585947109,2.16495480479358e-26,0.191040601938287,-15.1759669413503,-0.639444015912719,0.21312568670091,90.3992570072255,-0.213159164605905,0.329672645264796,0.217496267619862,-0.98005895429186,-0.653197839928233,0.21692676236497,91.1037365522734,-0.218135538781631,0.328355337660107,0.221974640645603,-0.98270477270374,-0.289437278303459,0.56313242431017,90.3992570089386,0.136847573003355,0.530808216827203,0.217496267619862,0.629195040912317,0.874629457214611,2.35614561872341e-25,0.827544492107159,0.990316899229131,0.977025442307036
