"","Module","Description","X008.CD.T4I_S125_ME_L001__paired.","X011.CD.V2_S220_ME_L001__paired.","X059.CD.T4W_S238_ME_L001__paired.","X090.CD.T4W_S195_ME_L001__paired.","X101.CD.V2_S205_ME_L001__paired.","X003.CD.V3_S58_ME_L001__paired.","X108.CD.T2W_S102_ME_L001__paired.","X008.CD.T2W_S61_ME_L001__paired.","X042.CD.V3_S202_ME_L001__paired.","X037.CD.T4I_S11_ME_L001__paired.","X052.CD.T2I_S15_ME_L001__paired.","X103.CD.V2_S161_ME_L001__paired.","X003.CD.V4_S122_ME_L001__paired.","X008.CD.V3_S71_ME_L001__paired.","X113.CD.T4I_S268_ME_L001__paired.","X113.CD.T14I_S79_ME_L001__paired.","X117.NCD.V2_S112_ME_L001__paired.","X003.CD.V2_S132_ME_L001__paired.","X054.CD.T2I_S215_ME_L001__paired.","X011.CD.T2I_S123_ME_L001__paired.","X087.CD.V2_S157_ME_L001__paired.","X014.CD.T4W_S207_ME_L001__paired.","X001.NCD.V2_S119_ME_L001__paired.","X105.CD.T2W_S85_ME_L001__paired.","X003.CD.T2W_S55_ME_L001__paired.","X060.CD.T4W_S36_ME_L001__paired.","X072.CD.T2I_S72_ME_L001__paired.","X024.NCD.V2_S118_ME_L001__paired.","X093.NCD.V2_S111_ME_L001__paired.","X109.CD.T4W_S134_ME_L001__paired.","X063.CD.V3_S251_ME_L001__paired.","X108.CD.V4_S90_ME_L001__paired.","X042.CD.T14I_S163_ME_L001__paired.","X080.NCD.V2_S46_ME_L001__paired.","X027.NCD.V2_S1_ME_L001__paired.","X038.CD.T4W_S83_ME_L001__paired.","X087.CD.T4I_S88_ME_L001__paired.","X105.CD.V3_S133_ME_L001__paired.","X043.CD.V3_S168_ME_L001__paired.","X090.CD.T4I_S240_ME_L001__paired.","X101.CD.T2I_S190_ME_L001__paired.","X108.CD.V3_S42_ME_L001__paired.","X090.CD.V2_S139_ME_L001__paired.","X036.CD.T14I_S43_ME_L001__paired.","X022.NCD.V2_S135_ME_L001__paired.","X090.CD.T14I_S116_ME_L001__paired.","X087.CD.V4_S63_ME_L001__paired.","X038.CD.V3_S244_ME_L001__paired.","X069.CD.V2_S256_ME_L001__paired.","X069.CD.T2I_S230_ME_L001__paired.","X016.CD.V3_S278_ME_L001__paired.","X038.CD.T4I_S252_ME_L001__paired.","X061.CD.T14I_S235_ME_L001__paired.","X103.CD.T2W_S151_ME_L001__paired.","X005.CD.V3_S263_ME_L001__paired.","X108.CD.T4I_S45_ME_L001__paired.","X033.CD.V3_S32_ME_L001__paired.","X103.CD.T14I_S165_ME_L001__paired.","X038.CD.T14I_S246_ME_L001__paired.","X087.CD.T2W_S77_ME_L001__paired.","X017.CD.T14I_S18_ME_L001__paired.","X017.CD.T4W_S96_ME_L001__paired.","X072.CD.T4W_S48_ME_L001__paired.","X054.CD.V2_S186_ME_L001__paired.","X087.CD.T4W_S12_ME_L001__paired.","X038.CD.V4_S262_ME_L001__paired.","X014.CD.T2W_S199_ME_L001__paired.","X052.CD.T4W_S31_ME_L001__paired.","X017.CD.V4_S208_ME_L001__paired.","X038.CD.T2I_S259_ME_L001__paired.","X033.CD.V4_S206_ME_L001__paired.","X039.CD.V4_S253_ME_L001__paired.","X041.NCD.V2_S265_ME_L001__paired.","X007.NCD.V2_S113_ME_L001__paired.","X054.CD.T14I_S232_ME_L001__paired.","X081.NCD.V2_S138_ME_L001__paired.","X057.NCD.V2_S82_ME_L001__paired.","X108.CD.T2I_S101_ME_L001__paired.","X063.CD.T2I_S164_ME_L001__paired.","X061.CD.V3_S225_ME_L001__paired.","X005.CD.T4W_S106_ME_L001__paired.","X072.CD.V2_S52_ME_L001__paired.","X087.CD.V3_S193_ME_L001__paired.","X113.CD.V4_S30_ME_L001__paired.","X054.CD.V3_S267_ME_L001__paired.","X084.NCD.V2_S99_ME_L001__paired.","X038.CD.T2W_S129_ME_L001__paired.","X017.CD.T4I_S29_ME_L001__paired.","X037.CD.T2W_S254_ME_L001__paired.","X090.CD.T2W_S237_ME_L001__paired.","X017.CD.T2I_S39_ME_L001__paired.","X061.CD.T4W_S239_ME_L001__paired.","X033.CD.T4W_S110_ME_L001__paired.","X037.CD.T2I_S130_ME_L001__paired.","X105.CD.V4_S81_ME_L001__paired.","X036.CD.T4W_S33_ME_L001__paired.","X087.CD.t21_S118_ME_L001__paired.","X103.CD.T4I_S142_ME_L001__paired.","X061.CD.T4I_S222_ME_L001__paired.","X043.CD.V2_S120_ME_L001__paired.","X059.CD.V4_S226_ME_L001__paired.","X100.NCD.V2_S91_ME_L001__paired.","X105.CD.T4W_S143_ME_L001__paired.","X038.CD.V2_S247_ME_L001__paired.","X058.CD.V3_S176_ME_L001__paired.","X109.CD.T2I_S269_ME_L001__paired.","X090.CD.T2I_S261_ME_L001__paired.","X016.CD.V2_S241_ME_L001__paired.","X017.CD.T2W_S3_ME_L001__paired.","X109.CD.V4_S178_ME_L001__paired.","X016.CD.T4W_S166_ME_L001__paired.","X086.NCD.V2_S198_ME_L001__paired.","X016.CD.T2I_S169_ME_L001__paired.","X037.CD.V3_S160_ME_L001__paired.","X044.NCD.V2_S44_ME_L001__paired.","X060.CD.T14I_S117_ME_L001__paired.","X072.CD.V4_S54_ME_L001__paired.","X033.CD.T2I_S7_ME_L001__paired.","X042.CD.V4_S203_ME_L001__paired.","X112.NCD.V2_S16_ME_L001__paired.","X063.CD.V4_S94_ME_L001__paired.","X037.CD.V2_S214_ME_L001__paired.","X069.CD.T2W_S221_ME_L001__paired.","X101.CD.V4_S66_ME_L001__paired.","X036.CD.V4_S47_ME_L001__paired.","X039.CD.T14I_S211_ME_L001__paired.","X063.CD.T4I_S257_ME_L001__paired.","X072.CD.T4I_S69_ME_L001__paired.","X042.CD.T4W_S109_ME_L001__paired.","X058.CD.V2_S140_ME_L001__paired.","X005.CD.T4I_S8_ME_L001__paired.","X035.NCD.V2_S117_ME_L001__paired.","X058.CD.T2W_S150_ME_L001__paired.","X028.NCD.V2_S19_ME_L001__paired.","X063.CD.T4W_S197_ME_L001__paired.","X059.CD.T2W_S177_ME_L001__paired.","X058.CD.V4_S212_ME_L001__paired.","X008.CD.T14I_S179_ME_L001__paired.","X061.CD.V2_S250_ME_L001__paired.","X052.CD.T14I_S277_ME_L001__paired.","X060.CD.V3_S24_ME_L001__paired.","X011.CD.V3_S229_ME_L001__paired.","X085.NCD.V2_S236_ME_L001__paired.","X069.CD.V3_S231_ME_L001__paired.","X011.CD.T2W_S137_ME_L001__paired.","X019.NCD.V2_S74_ME_L001__paired.","X105.CD.T14I_S5_ME_L001__paired.","X031.NCD.V2_S158_ME_L001__paired.","X060.CD.T2W_S23_ME_L001__paired.","X098.NCD.V2_S155_ME_L001__paired.","X033.CD.T4I_S26_ME_L001__paired.","X036.CD.T2I_S41_ME_L001__paired.","X072.CD.T14I_S65_ME_L001__paired.","X039.CD.T2I_S105_ME_L001__paired.","X059.CD.V3_S264_ME_L001__paired.","X052.CD.T4I_S131_ME_L001__paired.","X054.CD.T4W_S224_ME_L001__paired.","X005.CD.T2W_S266_ME_L001__paired.","X114.NCD.V2_S127_ME_L001__paired.","X105.CD.V2_S86_ME_L001__paired.","X043.CD.V4_S84_ME_L001__paired.","X108.CD.V2_S249_ME_L001__paired.","X113.CD.T2I_S9_ME_L001__paired.","X109.CD.T14I_S2_ME_L001__paired.","X061.CD.V4_S255_ME_L001__paired.","X072.CD.V3_S25_ME_L001__paired.","X052.CD.V2_S89_ME_L001__paired.","X109.CD.T4I_S97_ME_L001__paired.","X040.NCD.V2_S128_ME_L001__paired.","X016.CD.T14I_S121_ME_L001__paired.","X042.CD.T2W_S114_ME_L001__paired.","X103.CD.V4_S188_ME_L001__paired.","X061.CD.T2W_S62_ME_L001__paired.","X072.CD.T2W_S67_ME_L001__paired.","X005.CD.T2I_S172_ME_L001__paired.","X008.CD.V4_S98_ME_L001__paired.","X109.CD.T2W_S34_ME_L001__paired.","X003.CD.T4I_S14_ME_L001__paired.","X108.CD.T4W_S120_ME_L001__paired.","X101.CD.T14I_S100_ME_L001__paired.","X101.CD.T4I_S53_ME_L001__paired.","X113.CD.V2_S6_ME_L001__paired.","X101.CD.T2W_S194_ME_L001__paired.","X016.CD.V4_S223_ME_L001__paired.","X043.CD.T4I_S80_ME_L001__paired.","X033.CD.T14I_S144_ME_L001__paired.","X042.CD.V2_S76_ME_L001__paired.","X043.CD.T14I_S124_ME_L001__paired.","X003.CD.T14I_S75_ME_L001__paired.","X101.CD.V3_S170_ME_L001__paired.","X005.CD.V2_S156_ME_L001__paired.","X103.CD.T2I_S187_ME_L001__paired.","X036.CD.V2_S28_ME_L001__paired.","X011.CD.T4I_S149_ME_L001__paired.","X069.CD.T14I_S260_ME_L001__paired.","X060.CD.T2I_S70_ME_L001__paired.","X037.CD.T4W_S228_ME_L001__paired.","X039.CD.V3_S60_ME_L001__paired.","X033.CD.T2W_S180_ME_L001__paired.","X090.CD.V3_S276_ME_L001__paired.","X088.NCD.V2_S173_ME_L001__paired.","X014.CD.V3_S153_ME_L001__paired.","X105.CD.T4I_S4_ME_L001__paired.","X014.CD.V2_S119_ME_L001__paired.","X033.CD.V2_S20_ME_L001__paired.","X017.CD.V3_S243_ME_L001__paired.","X016.CD.T2W_S107_ME_L001__paired.","X011.CD.T4W_S245_ME_L001__paired.","X036.CD.T4I_S49_ME_L001__paired.","X058.CD.T4I_S27_ME_L001__paired.","X059.CD.V2_S196_ME_L001__paired.","X027.NCD.v2_S122_ME_L001__paired.","X061.CD.T2I_S227_ME_L001__paired.","X014.CD.T2I_S154_ME_L001__paired.","X109.CD.V3_S270_ME_L001__paired.","X058.CD.T4W_S64_ME_L001__paired.","X042.CD.T2I_S167_ME_L001__paired.","X069.CD.T4I_S126_ME_L001__paired.","X060.CD.V4_S21_ME_L001__paired.","X063.CD.T14I_S146_ME_L001__paired.","X113.CD.V3_S274_ME_L001__paired.","X008.CD.T2I_S181_ME_L001__paired.","X037.CD.T14I_S40_ME_L001__paired.","X014.CD.V4_S162_ME_L001__paired.","X042.CD.T4I_S219_ME_L001__paired.","X043.CD.T2I_S159_ME_L001__paired.","X071.NCD.V2_S22_ME_L001__paired.","X054.CD.V4_S210_ME_L001__paired.","X008.Cd.T4W_S121_ME_L001__paired.","X043.CD.T4W_S182_ME_L001__paired.","X017.CD.V2_S108_ME_L001__paired.","X046.NCD.V2_S191_ME_L001__paired.","X054.CD.T4I_S189_ME_L001__paired.","X011.CD.V4_S213_ME_L001__paired.","X103.CD.T4W_S272_ME_L001__paired.","X113.CD.T2W_S37_ME_L001__paired.","X039.CD.T4W_S57_ME_L001__paired.","X054.CD.T2W_S234_ME_L001__paired.","X003.CD.T2I_S275_ME_L001__paired.","X016.CD.T4I_S216_ME_L001__paired.","X052.CD.T2W_S10_ME_L001__paired.","X036.CD.T2W_S17_ME_L001__paired.","X059.CD.T2I_S200_ME_L001__paired.","X052.CD.V4_S152_ME_L001__paired.","X069.CD.T4W_S174_ME_L001__paired.","X069.CD.V4_S35_ME_L001__paired.","X014.CD.T4I_S258_ME_L001__paired.","X063.CD.T2W_S209_ME_L001__paired.","X108.CD.T14I_S104_ME_L001__paired.","X116.NCD.V2_S13_ME_L001__paired.","X005.CD.V4_S171_ME_L001__paired.","X043.CD.T2W_S115_ME_L001__paired.","X014.CD.T14I_S145_ME_L001__paired.","X003.CD.T4W_S38_ME_L001__paired.","X118.NCD.V2_S204_ME_L001__paired.","X036.CD.V3_S175_ME_L001__paired.","X105.CD.T2I_S73_ME_L001__paired.","X021.NCD.V2_S56_ME_L001__paired.","X059.CD.T14I_S242_ME_L001__paired.","X090.CD.V4_S248_ME_L001__paired.","X039.CD.V2_S59_ME_L001__paired.","X039.CD.T4I_S201_ME_L001__paired.","X059.CD.T4I_S233_ME_L001__paired.","X008.CD.V2_S184_ME_L001__paired.","X063.CD.V2_S183_ME_L001__paired.","X037.CD.V4_S217_ME_L001__paired.","X039.CD.T2W_S50_ME_L001__paired.","X058.CD.T2I_S141_ME_L001__paired.","X103.CD.V3_S271_ME_L001__paired.","X052.CD.V3_S51_ME_L001__paired.","X087.CD.T14I_S95_ME_L001__paired.","X011.CD.T14I_S147_ME_L001__paired.","X058.CD.T14I_S192_ME_L001__paired.","X060.CD.V2_S78_ME_L001__paired.","X109.CD.V2_S148_ME_L001__paired."
"11","MGB031","17-beta-Estradiol degradation",10,36,70,14,66,29,59,24,117,93,11,12,8,1,96,194,84,15,19,1,91,81,22,44,52,110,23,9,13,161,64,23,144,0,15,8,138,51,13,35,413,49,2,32,3,13,76,14,39,57,118,23,48,1,36,6,22,46,19,63,13,60,4,24,135,28,83,46,57,19,193,252,211,34,33,13,53,13,294,25,9,40,96,39,102,63,1,10,51,22,0,47,81,45,9,105,65,23,20,39,137,523,4,17,90,367,76,148,4,74,16,94,11,5,9,45,18,8,123,30,74,52,87,172,169,164,59,58,13,31,42,22,44,50,348,14,109,12,30,70,140,5,129,28,1,133,52,8,83,8,321,33,5,30,91,22,40,66,15,26,32,38,114,51,23,21,46,288,14,9,6,71,6,29,24,30,47,34,19,46,142,10,202,74,24,107,57,5,29,179,9,107,66,16,135,26,110,71,35,68,0,21,11,22,152,60,35,3,122,33,133,7,19,20,194,22,139,8,43,98,100,21,37,55,77,30,39,43,45,55,7,48,16,6,49,24,15,40,67,98,34,24,217,41,28,47,16,190,60,16,13,31,4,12,151,6,4,5,178,26,349,13,120,14,24,189,96,19,103,33,236,22,70,45,99
"12","MGB032","Quinolinic acid synthesis",44,288,578,376,317,578.5,475.5,180.5,458,1534,137,26.5,136,55,698.5,4148,211.5,194,217.5,32,616.5,641.5,92,640.5,997,707,438,105.5,58.5,1307.5,110.5,154,566.5,230,672,323.5,442,466.5,93,335.5,566,522,54,266,24.5,154.5,475.5,132,288.5,454.5,216.5,765,307,15.5,420.5,38,179,59,321,418,628.5,2428.5,206.5,642.5,615.5,464.5,416.5,302,552.5,220.5,546.5,1475.5,244,121,619,33.5,453,54.5,530,167,132,440.5,561,911.5,256,339,105,263.5,382.5,347.5,72,294.5,348.5,209,119,985.5,143,100.5,190,154.5,835,3173.5,136.5,388.5,459,703,476.5,309,305,311.5,114.5,510.5,56.5,68,140,503.5,518.5,45.5,431.5,356,55.5,523.5,380,586,1829.5,632,753,737.5,110,237,849,117,246,613,516,287,438.5,51.5,239,483,973,436.5,333.5,175.5,37.5,962.5,370,33.5,702,41.5,1475.5,584,37,174.5,524.5,135,707.5,342.5,81,167,324.5,130,1745,638.5,223.5,705.5,549.5,1432.5,243,27.5,67,478.5,55.5,980.5,309,188.5,417.5,494,45,303,632.5,91.5,611,214,308.5,264.5,400,45.5,538.5,303.5,165.5,204,511.5,96.5,1305,158.5,671.5,580.5,74.5,649.5,43,89.5,153.5,161.5,612.5,334,50.5,148,643,554,997.5,448.5,188.5,165.5,722,204.5,977,113,403,125,1691.5,71,856,492.5,342.5,237,228,507.5,221.5,593.5,92.5,804,458,153,451.5,405,93.5,260,559.5,467,172.5,523.5,612,288.5,191.5,554,201.5,286,523.5,297,132,169.5,52.5,72.5,750,74,74.5,138,1097,326.5,995.5,61,1152,93.5,113.5,1866,551.5,199.5,519,497.5,1248.5,110,625.5,357.5,415
"13","MGB054","Propionate synthesis II",2,1,4,4,6,3,1,0,6,2,0,0,0,0,20,162,8,2,2,0,11,5,0,2,22,10,1,0,8,19,0,0,7,21,0,3,10,2,0,1,15,5,0,34,0,12,7,2,5,8,4,30,0,0,5,0,0,0,7,4,0,16,2,18,7,2,2,1,11,4,30,3,0,10,9,0,0,0,12,0,0,2,13,22,7,1,0,0,1,3,0,0,46,1,3,51,2,2,0,3,17,49,0,6,29,20,9,9,0,1,2,2,3,0,1,0,0,6,3,2,0,2,4,11,143,0,7,0,0,4,5,0,11,1,2,2,29,0,0,0,3,0,11,0,0,181,3,2,6,0,138,43,0,1,8,0,8,1,0,0,2,0,10,1,0,2,7,10,0,0,2,1,0,0,6,2,2,2,0,11,9,0,19,5,7,14,6,0,2,8,2,0,34,0,12,0,0,2,6,26,0,3,0,5,74,1,0,0,4,17,25,1,2,4,11,0,2,0,4,0,6,0,4,11,1,2,0,1,2,3,0,3,9,0,6,0,4,8,6,9,15,22,17,1,0,3,3,0,0,2,3,0,0,4,2,3,0,0,21,5,0,0,19,1,0,68,2,10,16,0,12,0,36,6,2
"14","MGB010","Histamine degradation",0,0,0,2,4,0,0,0,6,0,1,0,0,2,0,43,64,0,0,0,3,0,0,0,0,4,0,2,0,11,0,0,4,0,0,2,0,0,0,10,0,10,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,0,0,41,0,0,6,0,0,4,0,19,2,0,0,0,9,0,0,0,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,0,0,0,0,0,2,8,4,1,2,0,1,0,0,0,0,0,0,2,3,8,0,0,8,0,0,11,0,0,1,0,3,1,0,0,0,0,0,2,141,0,0,0,2,0,0,0,0,0,0,0,19,0,1,0,1,0,0,0,0,0,0,0,8,4,0,0,0,1,2,1,2,0,0,21,2,0,0,0,0,0,0,0,7,0,0,0,9,25,0,0,0,0,59,3,0,0,0,0,0,0,2,0,25,0,26,0,0,0,8,7,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,11,0,23,0,2
"15","MGB050","Glutamate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","MGB019","GABA degradation",1,21,36,4,24,34,12,27,11,92,5,10,5,3,65,55,47,124,18,1,42,19,12,46,138,1,2,1,9,38,7,4,40,3,4,122,11,18,11,15,39,9,0,21,0,4,11,16,51,131,17,23,8,0,35,0,1,6,44,16,9,66,1,33,40,11,5,13,104,31,33,57,4,6,32,6,2,1,13,11,11,4,50,7,19,3,3,5,24,7,2,7,3,3,9,19,5,15,12,15,52,439,0,26,56,420,5,39,5,54,4,51,4,0,4,3,6,2,14,10,0,81,48,7,74,81,27,24,0,16,26,6,31,7,21,1,84,9,10,32,4,6,73,16,0,35,12,0,11,0,41,2,15,12,41,6,28,52,10,7,115,11,27,22,11,7,96,72,7,4,1,50,4,6,35,13,15,22,2,0,21,2,37,30,22,21,6,3,33,20,10,54,23,9,66,2,74,20,6,27,0,4,3,3,51,44,4,0,94,11,44,0,15,10,126,12,12,6,5,1,21,7,34,29,18,12,9,58,30,75,0,15,42,2,47,11,0,73,302,64,6,4,41,36,16,18,15,12,11,9,6,0,6,15,7,1,2,0,70,7,121,10,43,11,6,422,23,16,124,8,92,17,59,11,55
"17","MGB026","Nitric oxide synthesis II (nitrite reductase)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"18","MGB005","Tryptophan synthesis",2,0,3,2,3,1,0,0,2,26,4,0,0,0,8,4,27,0,1,0,0,3,0,0,0,0,22,2,0,1,0,4,0,3,0,0,3,1,1,0,0,0,0,0,0,2,1,0,10,10,0,9,10,0,0,0,3,0,0,2,18,1,2,1,1,2,0,18,0,0,40,0,26,2,0,1,5,0,20,8,1,35,2,1,0,6,0,3,17,4,1,12,38,21,1,17,0,1,4,4,5,49,0,1,96,0,2,9,0,1,0,5,0,0,0,0,69,0,2,11,0,28,13,1,16,0,1,74,0,0,1,2,0,39,1,1,3,0,0,0,0,1,4,4,0,2,0,1,0,1,110,1,1,0,0,0,2,4,5,0,71,3,5,0,7,50,69,0,2,2,0,0,6,9,3,0,0,0,0,0,1,0,0,4,6,21,0,1,0,0,0,2,0,0,6,0,11,0,3,5,0,0,0,0,72,10,0,7,0,0,2,0,13,2,2,2,1,0,0,1,7,0,17,2,5,0,2,0,2,23,2,1,0,4,0,0,5,0,0,3,10,7,0,10,0,6,2,2,9,0,2,0,0,0,17,2,0,0,0,1,0,0,2,0,2,145,0,1,1,101,2,0,6,0,0
"19","MGB006","Glutamate synthesis I",244,729,2008,1758,1305,3459,2002,1033,1404,2944,1428,184,1253,342,2932,17740,2600,1043,489,104,1741,2702,328,1968,6183,3360,2730,625,572,5672,193,877,1871,1666,2537,1550,2427,2150,615,1641,2742,2997,350,2996,160,984,2146,630,2350,2977,1039,5341,1046,184,1604,193,835,433,1501,1622,1762,9864,940,1806,2578,1854,2862,1493,3052,1371,2627,4447,407,529,1597,118,2142,268,2066,589,514,2594,2051,3884,829,1030,563,806,1580,2147,306,1067,1313,592,396,6695,660,470,640,1232,2777,18782,415,2240,1747,4547,2566,1926,1419,1663,667,2895,291,312,827,2100,3795,291,1614,1732,197,1986,2589,1803,11905,2073,3453,4702,283,1056,2441,295,931,3054,829,1090,1631,293,831,2236,3201,452,2764,984,109,8136,1402,107,2932,129,5598,4160,369,737,2529,685,1908,1021,337,514,3658,833,7132,2625,1260,3286,2779,7271,1110,129,352,1476,225,6005,949,1180,1564,3088,305,1162,2721,287,3229,919,2637,885,1973,258,2908,1493,445,1311,5044,202,5151,508,3195,1767,337,3491,113,425,560,1155,1784,1365,387,392,1989,2635,3060,1802,808,941,4249,678,2678,532,1591,210,6696,237,2360,3540,1061,1144,1419,1408,781,3177,361,2459,1297,515,1387,1811,946,665,2695,2526,821,5674,2700,1415,1368,4870,1142,515,2396,2102,277,466,453,297,2991,779,355,774,3173,1646,3456,250,3736,482,212,5549,1966,1262,1998,2982,4495,334,2044,1628,2048
"20","MGB007","Glutamate synthesis II",506,1612.5,2812,1301.5,1309.5,2741,1612,1369,1413,4525,636.5,242.5,577,307.5,6339,11927.5,2032,1382.5,1209.5,217,2714.5,3126,407.5,1400,4845.5,1619,2181,245,597,6124,433.5,1432,1517.5,1490.5,2135,1883,2943.5,3111.5,1029.5,1509.5,1906,1655,257.5,1569,68.5,719.5,2836.5,848.5,2522.5,6854.5,1800,5277,1251.5,190.5,2284,135.5,392,667,1963.5,1871,1902,7287,739,1621,3194,2015,2176,1345.5,3831,1294,1951.5,4680,1167.5,750.5,1889,367.5,1026.5,263.5,1418.5,1137.5,457.5,2558.5,4102.5,2468.5,1881.5,806,430,809.5,1637,1608.5,199,1466,991,558,431,3507,878.5,1456.5,1477,622,2707.5,25948.5,258.5,2012,2637,6327.5,1831.5,2781.5,1090,2691,422.5,4157.5,373,255,646.5,1315,3024,209,1786.5,1360.5,239.5,2749.5,3339.5,1526,5088.5,2187,4714,4901.5,267.5,1496,1980,348.5,1502.5,3808,2166,694,4836.5,523.5,954,2441.5,1925.5,1329.5,4779,1306,184.5,4552,1011.5,107,1988.5,304.5,3832,1449,489.5,707.5,2777,720.5,1344,3993,1206,552,4122.5,1141,3322.5,2561,1217,3711.5,4502.5,8028.5,705,154,337,2744,212,4503.5,1104,1946.5,1107,2169,530,1026,1943.5,524.5,2995.5,1440,3639.5,1089,1121.5,540.5,2098.5,1274,646,2890,1968,655,6545,335,3798,1892.5,358.5,2612,272.5,351,356.5,790,2214,1841,367,757,2191,2990.5,3339,1502,986.5,714,6321.5,826.5,2662.5,625.5,1074,364,5883,560.5,2521.5,3138,1232.5,1907,875,1916,1511.5,5259,325.5,1753.5,2054.5,1310.5,2882.5,1743.5,469,1002.5,3704.5,3306,826,2180,2290.5,2870,1096,3900.5,1041.5,1211,2637,1798,390,445.5,428.5,363,2427,323.5,289.5,593.5,2711.5,1099,3142.5,287,4375.5,733.5,243,10065.5,1497,1406,4003.5,2113,6525,1283,4614.5,719.5,1889.5
"21","MGB029","ClpB (ATP-dependent chaperone protein)",389,1385,2278,1742,1189,2988,1849,1216,1634,9274,2401,408,870,352,4143,16979,4023,1010,710,155,3284,3707,364,2531,4999,4606,2829,467,832,7607,247,549,2962,1103,2371,1837,3114,2888,1211,1517,2009,1769,309,3658,113,1037,3004,790,2531,4782,1631,5646,1838,248,1744,132,813,1006,1687,2476,2606,10082,1263,2470,4108,1921,2807,2129,4133,1243,2599,4597,410,510,2329,206,3184,209,1574,1111,743,3525,2439,3734,1372,1485,488,1127,2574,2201,364,1819,1078,1419,647,6189,926,1264,1270,1954,3511,15533,572,2120,3501,4689,2457,2928,1725,2179,1022,5163,440,573,643,2896,4333,252,2363,2242,125,3575,2758,1904,12168,2528,3872,7065,375,1521,2748,595,1555,3856,947,1302,3338,393,1498,3412,4998,2477,4211,1471,164,6663,2012,156,3703,170,5164,4406,695,730,2422,1079,2633,1836,563,641,7662,537,5263,4715,1650,4165,5104,11413,925,235,621,3114,338,7421,1441,1750,2743,2139,216,980,2034,482,2698,1568,4847,846,2666,686,2772,1269,564,2841,4577,307,5497,815,4989,2269,341,3125,112,566,614,1158,1865,1737,591,632,2732,4667,3841,1704,1356,1196,3657,1045,3550,637,2243,179,7297,401,5697,3668,1317,2098,1755,1801,1350,5174,417,2656,1880,1049,3180,1634,1076,993,2165,4299,1758,6425,2367,2297,1734,6223,1321,489,2259,2207,555,758,530,371,2565,778,468,941,4225,1759,4242,326,4518,583,327,10051,2344,1823,3878,6435,7203,710,3649,2126,2758
